date,rental
2021-01-01,26721
2021-01-02,22271
2021-01-03,21237
2021-01-04,24186
2021-01-05,22437
2021-01-06,19520
2021-01-07,15897
2021-01-08,21033
2021-01-09,20555
2021-01-10,18765
2021-01-11,21048
2021-01-12,12451
2021-01-13,29521
2021-01-14,29923
2021-01-15,25075
2021-01-16,19243
2021-01-17,18336
2021-01-18,20994
2021-01-19,22496
2021-01-20,29437
2021-01-21,15356
2021-01-22,20187
2021-01-23,25876
2021-01-24,28881
2021-01-25,37142
2021-01-26,13832
2021-01-27,29377
2021-01-28,11810
2021-01-29,15647
2021-01-30,24762
2021-01-31,27334
2021-02-01,22879
2021-02-02,17202
2021-02-03,22148
2021-02-04,24106
2021-02-05,28590
2021-02-06,28351
2021-02-07,20380
2021-02-08,19305
2021-02-09,26217
2021-02-10,23626
2021-02-11,36977
2021-02-12,37618
2021-02-13,39080
2021-02-14,26630
2021-02-15,13769
2021-02-16,17933
2021-02-17,15765
2021-02-18,22535
2021-02-19,32288
2021-02-20,39724
2021-02-21,47503
2021-02-22,36254
2021-02-23,25768
2021-02-24,37347
2021-02-25,30635
2021-02-26,48407
2021-02-27,49999
2021-02-28,30119
2021-03-01,13120
2021-03-02,24923
2021-03-03,41441
2021-03-04,37997
2021-03-05,50307
2021-03-06,36756
2021-03-07,32531
2021-03-08,45690
2021-03-09,41137
2021-03-10,46113
2021-03-11,46866
2021-03-12,39008
2021-03-13,41590
2021-03-14,41301
2021-03-15,32786
2021-03-16,42867
2021-03-17,56592
2021-03-18,63419
2021-03-19,69184
2021-03-20,17316
2021-03-21,24798
2021-03-22,43774
2021-03-23,60027
2021-03-24,60800
2021-03-25,69123
2021-03-26,58804
2021-03-27,24810
2021-03-28,19215
2021-03-29,49409
2021-03-30,70573
2021-03-31,74488
2021-04-01,81367
2021-04-02,74686
2021-04-03,20854
2021-04-04,57177
2021-04-05,68711
2021-04-06,73087
2021-04-07,74225
2021-04-08,73245
2021-04-09,75974
2021-04-10,71477
2021-04-11,74819
2021-04-12,18813
2021-04-13,32238
2021-04-14,68782
2021-04-15,77648
2021-04-16,59975
2021-04-17,59655
2021-04-18,72858
2021-04-19,78189
2021-04-20,78434
2021-04-21,82007
2021-04-22,76616
2021-04-23,72613
