date,rental
2021-01-01,32838
2021-01-02,26700
2021-01-03,23221
2021-01-04,19261
2021-01-05,19746
2021-01-06,14884
2021-01-07,18042
2021-01-08,22192
2021-01-09,18278
2021-01-10,15859
2021-01-11,21671
2021-01-12,11144
2021-01-13,27086
2021-01-14,30109
2021-01-15,27784
2021-01-16,18346
2021-01-17,12867
2021-01-18,16568
2021-01-19,20470
2021-01-20,30279
2021-01-21,14631
2021-01-22,26539
2021-01-23,30328
2021-01-24,39206
2021-01-25,39963
2021-01-26,18257
2021-01-27,29825
2021-01-28,10960
2021-01-29,22749
2021-01-30,23462
2021-01-31,26487
2021-02-01,29350
2021-02-02,23578
2021-02-03,20815
2021-02-04,20036
2021-02-05,26499
2021-02-06,29109
2021-02-07,25275
2021-02-08,24162
2021-02-09,28532
2021-02-10,28838
2021-02-11,33019
2021-02-12,37899
2021-02-13,35028
2021-02-14,36537
2021-02-15,18140
2021-02-16,13968
2021-02-17,18147
2021-02-18,19573
2021-02-19,35504
2021-02-20,44995
2021-02-21,56696
2021-02-22,36792
2021-02-23,30508
2021-02-24,35221
2021-02-25,31602
2021-02-26,50419
2021-02-27,55799
2021-02-28,29991
2021-03-01,16096
2021-03-02,25904
2021-03-03,40403
2021-03-04,43360
2021-03-05,51494
2021-03-06,38885
2021-03-07,39451
2021-03-08,48004
2021-03-09,43317
2021-03-10,53518
2021-03-11,49740
2021-03-12,50540
2021-03-13,49358
2021-03-14,39186
2021-03-15,37582
2021-03-16,49839
2021-03-17,62943
2021-03-18,62843
2021-03-19,69680
2021-03-20,29436
2021-03-21,22540
2021-03-22,48540
2021-03-23,62025
2021-03-24,60166
2021-03-25,65196
2021-03-26,55330
2021-03-27,21012
2021-03-28,12548
2021-03-29,54105
2021-03-30,71984
2021-03-31,77922
2021-04-01,84272
2021-04-02,79155
2021-04-03,18185
2021-04-04,52974
2021-04-05,74903
2021-04-06,77798
2021-04-07,75266
2021-04-08,77225
2021-04-09,79009
2021-04-10,75732
2021-04-11,74600
2021-04-12,28806
2021-04-13,34419
2021-04-14,64449
2021-04-15,77244
2021-04-16,55236
2021-04-17,60588
2021-04-18,71461
2021-04-19,77776
2021-04-20,76992
2021-04-21,84091
2021-04-22,86519
2021-04-23,83310
2021-04-24,83741
2021-04-25,88052
2021-04-26,82430
2021-04-27,71498
2021-04-28,64199
2021-04-29,65745
2021-04-30,38571
2021-05-01,39660
2021-05-02,68340
2021-05-03,81425
2021-05-04,31840
2021-05-05,83521
2021-05-06,86138
2021-05-07,51390
2021-05-08,76241
2021-05-09,84853
2021-05-10,64339
2021-05-11,98363
2021-05-12,97929
2021-05-13,95191
2021-05-14,94297
2021-05-15,48385
2021-05-16,20670
2021-05-17,37962
2021-05-18,94382
2021-05-19,92903
