date,rental
2021-01-01,33559
2021-01-02,25162
2021-01-03,23128
2021-01-04,22959
2021-01-05,24018
2021-01-06,16174
2021-01-07,12313
2021-01-08,21669
2021-01-09,18601
2021-01-10,17361
2021-01-11,23644
2021-01-12,8411
2021-01-13,27122
2021-01-14,31597
2021-01-15,23116
2021-01-16,18749
2021-01-17,17213
2021-01-18,18081
2021-01-19,20507
2021-01-20,32282
2021-01-21,17387
2021-01-22,21774
2021-01-23,24755
2021-01-24,35985
2021-01-25,38300
2021-01-26,8928
2021-01-27,32027
2021-01-28,8138
2021-01-29,22779
2021-01-30,22435
2021-01-31,26075
2021-02-01,19866
2021-02-02,18815
2021-02-03,23545
2021-02-04,13855
2021-02-05,21028
2021-02-06,21587
2021-02-07,23455
2021-02-08,23217
2021-02-09,25954
2021-02-10,25483
2021-02-11,34867
2021-02-12,38286
2021-02-13,39387
2021-02-14,38276
2021-02-15,13324
2021-02-16,13543
2021-02-17,15591
2021-02-18,17987
2021-02-19,31300
2021-02-20,44901
2021-02-21,48290
2021-02-22,37236
2021-02-23,28691
2021-02-24,37083
2021-02-25,30524
2021-02-26,53422
2021-02-27,55268
2021-02-28,30377
2021-03-01,16574
2021-03-02,24354
2021-03-03,39605
2021-03-04,44234
2021-03-05,48934
2021-03-06,35919
2021-03-07,36082
2021-03-08,48094
2021-03-09,47655
2021-03-10,49481
2021-03-11,52079
2021-03-12,51798
2021-03-13,47846
2021-03-14,40522
2021-03-15,36350
2021-03-16,49185
2021-03-17,59176
2021-03-18,60056
2021-03-19,70445
2021-03-20,17036
2021-03-21,18643
2021-03-22,49315
2021-03-23,62442
2021-03-24,61162
2021-03-25,66028
2021-03-26,57897
2021-03-27,16344
2021-03-28,22889
2021-03-29,53897
2021-03-30,69680
2021-03-31,77020
2021-04-01,79336
2021-04-02,80744
2021-04-03,18830
2021-04-04,57686
2021-04-05,75554
2021-04-06,79002
2021-04-07,77212
2021-04-08,78085
2021-04-09,80958
2021-04-10,76980
2021-04-11,77856
2021-04-12,28231
