date,rental
2021-01-01,28174
2021-01-02,24219
2021-01-03,25616
2021-01-04,23643
2021-01-05,22503
2021-01-06,12351
2021-01-07,10260
2021-01-08,20594
2021-01-09,21807
2021-01-10,20897
2021-01-11,20560
2021-01-12,12777
2021-01-13,28648
2021-01-14,27440
2021-01-15,22165
2021-01-16,20302
2021-01-17,17337
2021-01-18,18729
2021-01-19,23531
2021-01-20,30059
2021-01-21,12599
2021-01-22,25883
2021-01-23,25640
2021-01-24,38601
2021-01-25,41622
2021-01-26,16881
2021-01-27,29540
2021-01-28,10204
2021-01-29,19896
2021-01-30,21435
2021-01-31,27397
2021-02-01,19601
2021-02-02,21281
2021-02-03,19112
2021-02-04,23898
2021-02-05,27267
2021-02-06,29002
2021-02-07,24122
2021-02-08,24703
2021-02-09,29294
2021-02-10,28866
2021-02-11,33239
2021-02-12,40134
2021-02-13,39516
2021-02-14,38060
2021-02-15,15551
2021-02-16,13024
2021-02-17,13518
2021-02-18,20060
2021-02-19,32412
2021-02-20,42080
2021-02-21,46929
2021-02-22,37002
2021-02-23,27875
2021-02-24,32768
2021-02-25,28363
2021-02-26,49819
2021-02-27,47889
2021-02-28,32272
2021-03-01,7314
2021-03-02,27059
2021-03-03,37683
2021-03-04,42573
2021-03-05,51566
2021-03-06,33111
2021-03-07,37806
2021-03-08,50020
2021-03-09,44179
2021-03-10,47701
2021-03-11,43117
2021-03-12,48146
2021-03-13,45759
2021-03-14,43432
2021-03-15,36244
2021-03-16,41908
2021-03-17,54361
2021-03-18,54073
2021-03-19,61591
2021-03-20,23610
2021-03-21,28948
2021-03-22,46025
2021-03-23,53589
2021-03-24,49721
2021-03-25,57675
2021-03-26,53020
2021-03-27,13830
2021-03-28,18275
2021-03-29,47979
2021-03-30,60482
2021-03-31,67566
2021-04-01,72302
2021-04-02,64834
2021-04-03,9557
2021-04-04,41629
2021-04-05,66235
2021-04-06,71305
2021-04-07,67230
2021-04-08,68679
2021-04-09,70801
2021-04-10,70097
2021-04-11,70837
2021-04-12,17155
2021-04-13,33192
2021-04-14,65005
2021-04-15,70829
2021-04-16,47783
2021-04-17,46734
2021-04-18,65624
2021-04-19,71354
2021-04-20,69625
2021-04-21,74834
2021-04-22,72927
2021-04-23,60124
2021-04-24,66155
2021-04-25,79811
2021-04-26,75833
2021-04-27,55784
2021-04-28,50977
2021-04-29,52180
2021-04-30,30927
2021-05-01,34110
2021-05-02,63564
2021-05-03,76505
2021-05-04,17005
2021-05-05,71383
2021-05-06,71967
2021-05-07,42420
2021-05-08,62432
2021-05-09,70288
2021-05-10,55272
2021-05-11,81496
2021-05-12,81947
2021-05-13,83305
2021-05-14,80915
2021-05-15,38554
2021-05-16,28951
2021-05-17,34081
2021-05-18,81650
2021-05-19,82312
2021-05-20,48032
2021-05-21,42195
2021-05-22,79749
2021-05-23,81197
2021-05-24,77960
2021-05-25,49552
2021-05-26,76092
2021-05-27,40752
2021-05-28,44877
2021-05-29,71603
2021-05-30,60082
2021-05-31,58407
2021-06-01,58229
2021-06-02,81723
2021-06-03,34372
2021-06-04,83089
2021-06-05,86171
2021-06-06,82736
2021-06-07,77560
2021-06-08,82647
2021-06-09,81686
2021-06-10,56078
2021-06-11,58612
2021-06-12,82428
2021-06-13,82211
2021-06-14,85922
2021-06-15,64622
2021-06-16,83796
2021-06-17,79096
2021-06-18,32348
2021-06-19,85369
2021-06-20,82625
2021-06-21,88452
2021-06-22,83849
2021-06-23,60137
2021-06-24,89371
2021-06-25,88024
2021-06-26,58436
2021-06-27,59347
2021-06-28,81535
2021-06-29,68242
2021-06-30,64347
2021-07-01,85837
2021-07-02,75701
2021-07-03,36038
2021-07-04,20209
2021-07-05,82851
2021-07-06,85640
2021-07-07,49267
2021-07-08,60790
2021-07-09,78711
2021-07-10,68973
2021-07-11,63420
2021-07-12,78443
2021-07-13,71282
2021-07-14,70862
2021-07-15,68912
2021-07-16,64364
2021-07-17,59815
2021-07-18,62235
2021-07-19,46333
2021-07-20,75945
2021-07-21,67565
2021-07-22,65299
2021-07-23,67597
2021-07-24,60963
2021-07-25,60833
2021-07-26,62663
2021-07-27,68669
2021-07-28,71041
2021-07-29,71674
2021-07-30,71271
2021-07-31,52890
2021-08-01,20991
2021-08-02,50425
2021-08-03,71934
2021-08-04,67976
2021-08-05,66564
2021-08-06,56981
2021-08-07,63043
2021-08-08,33762
2021-08-09,72002
2021-08-10,68632
2021-08-11,74488
2021-08-12,73719
2021-08-13,79665
2021-08-14,67758
2021-08-15,71358
2021-08-16,73265
2021-08-17,53855
2021-08-18,64408
2021-08-19,76725
2021-08-20,77899
2021-08-21,46093
2021-08-22,76257
2021-08-23,38348
2021-08-24,32607
2021-08-25,66816
2021-08-26,59665
2021-08-27,56005
2021-08-28,83987
2021-08-29,70016
2021-08-30,87510
2021-08-31,32540
2021-09-01,52374
2021-09-02,73517
2021-09-03,72189
2021-09-04,86524
2021-09-05,80432
2021-09-06,38467
2021-09-07,13965
2021-09-08,70717
2021-09-09,85424
2021-09-10,85628
2021-09-11,82496
2021-09-12,80225
2021-09-13,75947
2021-09-14,84576
2021-09-15,73911
2021-09-16,90566
2021-09-17,84178
2021-09-18,85216
2021-09-19,78978
2021-09-20,85741
2021-09-21,52673
2021-09-22,65781
2021-09-23,82347
2021-09-24,89723
2021-09-25,70656
2021-09-26,86451
2021-09-27,83759
2021-09-28,70290
2021-09-29,31895
2021-09-30,85908
2021-10-01,59824
2021-10-02,86839
2021-10-03,85084
2021-10-04,47698
2021-10-05,75647
2021-10-06,45370
2021-10-07,29575
2021-10-08,43521
2021-10-09,75684
2021-10-10,29960
2021-10-11,68303
2021-10-12,79084
2021-10-13,87079
2021-10-14,88877
2021-10-15,78201
2021-10-16,68172
2021-10-17,54713
2021-10-18,50010
2021-10-19,58865
2021-10-20,73379
2021-10-21,69844
2021-10-22,75461
2021-10-23,78018
2021-10-24,77302
2021-10-25,77804
2021-10-26,83103
2021-10-27,80903
2021-10-28,80868
2021-10-29,80926
2021-10-30,72324
2021-10-31,68865
2021-11-01,76763
2021-11-02,75119
2021-11-03,76372
2021-11-04,72955
2021-11-05,80307
2021-11-06,76948
2021-11-07,77265
2021-11-08,26828
2021-11-09,29642
2021-11-10,38774
2021-11-11,48124
2021-11-12,51599
2021-11-13,58024
2021-11-14,67331
2021-11-15,68185
2021-11-16,64978
2021-11-17,58479
2021-11-18,67477
2021-11-19,69247
2021-11-20,57069
2021-11-21,34402
2021-11-22,36276
2021-11-23,41408
2021-11-24,49862
2021-11-25,56266
2021-11-26,45972
2021-11-27,45739
2021-11-28,48259
2021-11-29,62479
2021-11-30,25609
2021-12-01,35366
2021-12-02,37501
2021-12-03,39500
2021-12-04,37804
2021-12-05,45305
2021-12-06,48648
2021-12-07,55678
2021-12-08,59723
2021-12-09,48248
2021-12-10,36400
2021-12-11,41969
2021-12-12,38086
2021-12-13,31731
2021-12-14,34627
2021-12-15,35817
2021-12-16,49066
2021-12-17,26926
2021-12-18,13838
2021-12-19,31001
2021-12-20,46316
2021-12-21,47034
2021-12-22,42095
2021-12-23,43973
2021-12-24,25886
2021-12-25,21352
2021-12-26,19405
2021-12-27,26909
2021-12-28,27946
2021-12-29,31806
2021-12-30,29009
2021-12-31,23298
