date,rental
2021-01-01,37674
2021-01-02,33719
2021-01-03,35116
2021-01-04,33143
2021-01-05,32003
2021-01-06,21851
2021-01-07,19760
2021-01-08,30094
2021-01-09,31307
2021-01-10,30397
2021-01-11,30060
2021-01-12,22277
2021-01-13,38148
2021-01-14,36940
2021-01-15,31665
2021-01-16,29802
2021-01-17,26837
2021-01-18,28229
2021-01-19,33031
2021-01-20,39559
2021-01-21,22099
2021-01-22,35383
2021-01-23,35140
2021-01-24,48101
2021-01-25,51122
2021-01-26,26381
2021-01-27,39040
2021-01-28,19704
2021-01-29,29396
2021-01-30,30935
2021-01-31,36897
2021-02-01,29101
2021-02-02,30781
2021-02-03,28612
2021-02-04,33398
2021-02-05,36767
2021-02-06,38502
2021-02-07,33622
2021-02-08,34203
2021-02-09,38794
2021-02-10,38366
2021-02-11,42739
2021-02-12,49634
2021-02-13,49016
2021-02-14,47560
2021-02-15,25051
2021-02-16,22524
2021-02-17,23018
2021-02-18,29560
2021-02-19,41912
2021-02-20,51580
2021-02-21,56429
2021-02-22,46502
2021-02-23,37375
2021-02-24,42268
2021-02-25,37863
2021-02-26,59319
2021-02-27,57389
2021-02-28,41772
2021-03-01,16814
2021-03-02,36559
2021-03-03,47183
2021-03-04,52073
2021-03-05,61066
2021-03-06,42611
2021-03-07,47306
2021-03-08,59520
2021-03-09,53679
2021-03-10,57201
2021-03-11,52617
2021-03-12,57646
2021-03-13,55259
2021-03-14,52932
2021-03-15,45744
2021-03-16,51408
2021-03-17,63861
2021-03-18,63573
2021-03-19,71091
2021-03-20,33110
2021-03-21,38448
2021-03-22,55525
2021-03-23,63089
2021-03-24,59221
2021-03-25,67175
2021-03-26,62520
2021-03-27,23330
2021-03-28,27775
2021-03-29,57479
2021-03-30,69982
2021-03-31,77066
2021-04-01,81802
2021-04-02,74334
2021-04-03,19057
2021-04-04,51129
2021-04-05,75735
2021-04-06,80805
2021-04-07,76730
2021-04-08,78179
2021-04-09,80301
2021-04-10,79597
2021-04-11,80337
2021-04-12,26655
2021-04-13,42692
2021-04-14,74505
2021-04-15,80329
2021-04-16,57283
2021-04-17,56234
2021-04-18,75124
2021-04-19,80854
2021-04-20,79125
2021-04-21,84334
2021-04-22,82427
2021-04-23,69624
2021-04-24,75655
2021-04-25,89311
2021-04-26,85333
2021-04-27,65284
2021-04-28,60477
2021-04-29,61680
2021-04-30,40427
2021-05-01,43610
2021-05-02,73064
2021-05-03,86005
2021-05-04,26505
2021-05-05,80883
2021-05-06,81467
2021-05-07,51920
2021-05-08,71932
2021-05-09,79788
2021-05-10,64772
2021-05-11,90996
2021-05-12,91447
2021-05-13,92805
2021-05-14,90415
2021-05-15,48054
2021-05-16,38451
2021-05-17,43581
2021-05-18,91150
2021-05-19,91812
2021-05-20,57532
2021-05-21,51695
2021-05-22,89249
2021-05-23,90697
2021-05-24,87460
2021-05-25,59052
2021-05-26,85592
2021-05-27,50252
2021-05-28,54377
2021-05-29,81103
2021-05-30,69582
2021-05-31,67907
2021-06-01,67729
2021-06-02,91223
2021-06-03,43872
2021-06-04,92589
2021-06-05,95671
2021-06-06,92236
2021-06-07,87060
2021-06-08,92147
2021-06-09,91186
2021-06-10,65578
2021-06-11,68112
2021-06-12,91928
2021-06-13,91711
2021-06-14,95422
2021-06-15,74122
2021-06-16,93296
2021-06-17,88596
2021-06-18,41848
2021-06-19,94869
2021-06-20,92125
2021-06-21,97952
2021-06-22,93349
2021-06-23,69637
2021-06-24,98871
2021-06-25,97524
2021-06-26,67936
2021-06-27,68847
2021-06-28,91035
2021-06-29,77742
2021-06-30,73847
2021-07-01,95337
2021-07-02,85201
2021-07-03,45538
2021-07-04,29709
2021-07-05,92351
2021-07-06,95140
2021-07-07,58767
2021-07-08,70290
2021-07-09,88211
2021-07-10,78473
2021-07-11,72920
2021-07-12,87943
