date,rental
2021-01-01,26249
2021-01-02,25826
2021-01-03,22331
2021-01-04,23772
2021-01-05,22292
2021-01-06,28109
2021-01-07,24437
2021-01-08,26075
2021-01-09,22412
2021-01-10,19732
2021-01-11,22212
2021-01-12,23259
2021-01-13,30623
2021-01-14,28303
2021-01-15,25637
2021-01-16,24549
2021-01-17,27829
2021-01-18,20899
2021-01-19,24559
2021-01-20,26082
2021-01-21,22580
2021-01-22,28057
2021-01-23,44790
2021-01-24,44675
2021-01-25,48116
2021-01-26,21440
2021-01-27,32133
2021-01-28,23052
2021-01-29,30482
2021-01-30,23301
2021-01-31,31779
2021-02-01,29069
2021-02-02,28056
2021-02-03,20374
2021-02-04,29878
2021-02-05,33933
2021-02-06,34782
2021-02-07,30852
2021-02-08,29348
2021-02-09,32586
2021-02-10,30595
2021-02-11,35376
2021-02-12,39320
2021-02-13,37816
2021-02-14,44668
2021-02-15,26144
2021-02-16,25839
2021-02-17,28326
2021-02-18,28570
2021-02-19,30322
2021-02-20,49580
2021-02-21,63693
2021-02-22,35926
2021-02-23,33862
2021-02-24,32578
2021-02-25,30419
2021-02-26,44889
2021-02-27,62173
2021-02-28,43083
2021-03-01,24082
2021-03-02,41764
2021-03-03,49331
2021-03-04,43033
2021-03-05,67295
2021-03-06,42633
2021-03-07,48041
2021-03-08,56085
2021-03-09,46196
2021-03-10,53503
2021-03-11,55070
2021-03-12,55937
2021-03-13,52256
2021-03-14,53414
2021-03-15,49028
2021-03-16,55800
2021-03-17,59193
2021-03-18,59649
2021-03-19,71906
2021-03-20,35271
2021-03-21,34076
2021-03-22,50453
2021-03-23,61358
2021-03-24,63189
2021-03-25,71818
2021-03-26,53165
2021-03-27,37322
2021-03-28,25681
2021-03-29,52828
2021-03-30,65916
2021-03-31,72977
2021-04-01,77812
2021-04-02,75701
2021-04-03,33016
2021-04-04,59058
2021-04-05,77691
2021-04-06,83336
2021-04-07,81302
2021-04-08,78208
2021-04-09,81920
2021-04-10,80244
2021-04-11,80307
2021-04-12,42237
2021-04-13,46974
2021-04-14,63093
2021-04-15,82352
2021-04-16,63807
2021-04-17,61616
2021-04-18,72521
2021-04-19,83640
2021-04-20,79305
2021-04-21,78432
2021-04-22,77470
2021-04-23,68459
2021-04-24,73326
