date,rental
2021-01-01,25372
2021-01-02,24818
2021-01-03,22824
2021-01-04,24071
2021-01-05,24811
2021-01-06,17724
2021-01-07,17752
2021-01-08,25031
2021-01-09,24120
2021-01-10,22206
2021-01-11,22709
2021-01-12,16645
2021-01-13,26873
2021-01-14,24919
2021-01-15,19201
2021-01-16,24542
2021-01-17,24718
2021-01-18,18801
2021-01-19,24229
2021-01-20,27280
2021-01-21,13792
2021-01-22,15070
2021-01-23,32753
2021-01-24,43669
2021-01-25,44148
2021-01-26,13160
2021-01-27,30130
2021-01-28,12125
2021-01-29,23860
2021-01-30,21086
2021-01-31,31451
2021-02-01,21336
2021-02-02,23127
2021-02-03,19628
2021-02-04,22274
2021-02-05,28036
2021-02-06,27995
2021-02-07,24307
2021-02-08,25598
2021-02-09,28288
2021-02-10,26671
2021-02-11,31171
2021-02-12,40793
2021-02-13,42305
2021-02-14,43333
2021-02-15,13408
2021-02-16,17469
2021-02-17,24324
2021-02-18,25502
2021-02-19,33015
2021-02-20,40049
2021-02-21,60073
2021-02-22,36987
2021-02-23,30969
2021-02-24,34831
2021-02-25,28311
2021-02-26,46289
2021-02-27,61577
2021-02-28,36528
2021-03-01,10737
2021-03-02,25629
2021-03-03,40762
2021-03-04,40838
2021-03-05,51954
2021-03-06,40645
2021-03-07,42864
2021-03-08,48392
2021-03-09,41090
2021-03-10,51016
2021-03-11,55483
2021-03-12,47014
2021-03-13,41962
2021-03-14,42718
2021-03-15,36261
2021-03-16,40986
2021-03-17,52313
2021-03-18,62540
2021-03-19,72538
2021-03-20,32307
2021-03-21,29072
2021-03-22,44634
2021-03-23,52200
2021-03-24,58842
2021-03-25,65539
2021-03-26,67936
2021-03-27,22484
2021-03-28,26085
2021-03-29,50930
2021-03-30,67239
2021-03-31,75248
2021-04-01,88901
2021-04-02,85287
2021-04-03,21799
2021-04-04,59699
2021-04-05,81516
2021-04-06,81990
2021-04-07,82856
2021-04-08,78906
2021-04-09,82417
2021-04-10,80576
2021-04-11,85646
2021-04-12,29869
2021-04-13,39900
2021-04-14,62717
2021-04-15,81098
2021-04-16,62402
2021-04-17,64551
2021-04-18,70633
2021-04-19,81918
2021-04-20,82113
2021-04-21,83611
2021-04-22,84800
2021-04-23,87371
2021-04-24,93935
2021-04-25,92089
2021-04-26,88447
2021-04-27,70928
2021-04-28,58539
2021-04-29,66918
2021-04-30,34893
2021-05-01,37552
2021-05-02,73214
2021-05-03,90051
2021-05-04,31927
2021-05-05,81455
2021-05-06,84972
2021-05-07,50931
2021-05-08,83606
2021-05-09,89082
2021-05-10,65488
2021-05-11,94109
2021-05-12,95713
2021-05-13,98384
2021-05-14,95900
2021-05-15,51030
2021-05-16,29095
2021-05-17,38861
2021-05-18,94541
2021-05-19,95013
2021-05-20,79124
2021-05-21,46832
2021-05-22,92850
2021-05-23,96889
2021-05-24,96842
2021-05-25,58299
2021-05-26,93021
2021-05-27,41691
2021-05-28,48699
2021-05-29,71285
2021-05-30,67529
2021-05-31,70377
2021-06-01,74647
2021-06-02,97605
2021-06-03,48148
2021-06-04,96281
2021-06-05,101752
2021-06-06,97643
2021-06-07,95659
2021-06-08,99913
2021-06-09,98710
2021-06-10,68293
2021-06-11,72025
2021-06-12,98535
2021-06-13,99918
2021-06-14,100185
2021-06-15,77031
2021-06-16,97331
2021-06-17,91533
2021-06-18,42173
2021-06-19,100865
2021-06-20,100418
2021-06-21,101745
2021-06-22,99885
2021-06-23,72081
2021-06-24,101166
2021-06-25,101639
2021-06-26,69645
2021-06-27,73810
2021-06-28,94487
2021-06-29,67168
2021-06-30,70327
2021-07-01,101394
2021-07-02,98353
2021-07-03,46660
2021-07-04,30181
2021-07-05,93602
2021-07-06,100353
2021-07-07,58831
2021-07-08,70858
2021-07-09,87460
2021-07-10,85880
2021-07-11,74361
2021-07-12,92546
2021-07-13,85878
2021-07-14,86026
2021-07-15,85128
2021-07-16,86489
2021-07-17,83495
2021-07-18,81795
2021-07-19,49784
2021-07-20,86134
2021-07-21,83413
2021-07-22,82162
2021-07-23,83946
2021-07-24,82811
2021-07-25,82988
2021-07-26,82664
2021-07-27,87084
2021-07-28,87578
2021-07-29,86824
2021-07-30,86453
2021-07-31,65419
2021-08-01,46192
2021-08-02,75121
2021-08-03,85579
2021-08-04,86846
2021-08-05,85262
2021-08-06,91854
2021-08-07,92914
2021-08-08,56744
2021-08-09,90977
2021-08-10,93843
2021-08-11,97568
2021-08-12,95669
